Precinct,Phone,Street_Address,Borough
1,(212) 334-0611,16 Ericsson Place,Manhattan
5,(212) 334-0711,19 Elizabeth Street,Manhattan
6,(212) 741-4811,233 West 10 Street,Manhattan
7,(212) 477-7311,19 1/2 Pitt Street,Manhattan
9,(212) 477-7811,321 East 5 Street,Manhattan
10,(212) 741-8211,230 West 20th Street,Manhattan
13,(212) 477-7411,230 East 21st Street,Manhattan
14,(212) 239-9811,357 West 35th Street ,Manhattan
17,(212) 826-3211,167 East 51st Street,Manhattan
18,(212) 767-8400,306 West 54th Street,Manhattan
19,(212) 452-0600,153 East 67th Street,Manhattan
20,(212) 580-6411,120 West 82nd Street,Manhattan
22,(212) 570-4820,86th Street and Transverse Road ,Manhattan
23,(212) 860-6411,162 East 102nd Street,Manhattan
24,(212) 678-1811,151 West 100th Street,Manhattan
25,(212) 860-6511,120 East 119th Street,Manhattan
26,(212) 678-1311,520 West 126th Street,Manhattan
28,(212) 678-1611,2271-89 8th Avenue,Manhattan
30,(212) 690-8811,451 West 151st Street,Manhattan
32,(212) 690-6311,250 West 135th Street,Manhattan
33,(212) 927-3200,2207 Amsterdam Avenue,Manhattan
34,(212) 927-9711,4295 Broadway,Manhattan
40,(718) 402-2270,257 Alexander Avenue,Bronx
41,(718) 542-4771,1035 Longwood Avenue,Bronx
42,(718) 402-3887,830 Washington Avenue,Bronx
43,(718) 542-0888,900 Fteley Avenue,Bronx
44,(718) 590-5511,2 East 169th Street,Bronx
45,(718) 822-5411,2877 Barkley Avenue,Bronx
46,(718) 220-5211,2120 Ryer Avenue,Bronx
47,(718) 920-1211,4111 Laconia Avenue,Bronx
48,(718) 299-3900,450 Cross Bronx Expressway,Bronx
49,(718) 918-2000,2121 Eastchester Road,Bronx
50,(718) 543-5700,3450 Kingsbridge Avenue,Bronx
52,(718) 220-5811,3016 Webster Avenue,Bronx
60,(718) 946-3311,2951 West 8th Street,Brooklyn
61,(718) 627-6611,2575 Coney Island Avenue,Brooklyn
62,(718) 236-2611,1925 Bath Avenue,Brooklyn
63,(718) 258-4411,1844 Brooklyn Avenue,Brooklyn
66,(718) 851-5611,5822 16th Avenue,Brooklyn
67,(718) 287-3211,2820 Snyder Avenue,Brooklyn
68,(718) 439-4211,333 65th Street,Brooklyn
69,(718) 257-6211,9720 Foster Avenue,Brooklyn
70,(718) 851-5511,154 Lawrence Avenue,Brooklyn
71,(718) 735-0511,421 Empire Boulevard,Brooklyn
72,(718) 965-6311,830 4th Avenue,Brooklyn
73,(718) 495-5411,1470 East New York Avenue,Brooklyn
75,(718) 827-3511,1000 Sutter Avenue,Brooklyn
76,(718) 834-3211,191 Union Street,Brooklyn
77,(718) 735-0611,127 Utica Avenue,Brooklyn
78,(718) 636-6411,65 6th Avenue,Brooklyn
79,(718) 636-6611,263 Tompkins Avenue,Brooklyn
81,(718) 574-0411,30 Ralph Avenue,Brooklyn
83,(718) 574-1605,480 Knickerbocker Avenue,Brooklyn
84,(718) 875-6811,301 Gold Street,Brooklyn
88,(718) 636-6511,298 Classon Avenue,Brooklyn
90,(718) 963-5311,211 Union Avenue,Brooklyn
94,(718) 383-3879,100 Meserole Avenue,Brooklyn
100,(718) 318-4200,92-24 Rockaway Beach Boulevard,Queens
101,(718) 868-3400,16-12 Mott Avenue,Queens
102,(718) 805-3200,87-34 118th Street,Queens
103,(718) 657-8181,168-02 91st Avenue,Queens
104,(718) 386-3004,64-2 Catalpa Avenue,Queens
105,(718) 776-9090,92-08 222nd Street,Queens
106,(718) 845-2211,103-53 101st Street,Queens
107,(718) 969-5100,71-01 Parsons Boulevard,Queens
108,(718) 784-5411,5-47 50th Avenue,Queens
109,(718) 321-2250,37-05 Union Street,Queens
110,(718) 476-9311,94-41 43rd Avenue,Queens
111,(718) 279-5200,45-06 215th Street,Queens
112,(718) 520-9311,68-40 Austin Street,Queens
113,(718) 712-7733,167-02 Baisley Boulevard,Queens
114,(718) 626-9311,34-16 Astoria Boulevard,Queens
115,(718) 533-2002,92-15 Northern Boulevard,Queens
120,(718) 876-8500,78 Richmond Terrace,Staten Island
121,(718) 697-8700,970 Richmond Avenue,Staten Island
122,(718) 667-2211,2320 Hylan Boulevard,Staten Island
123,(718) 948-9311,116 Main Street,Staten Island
